,Year,Round,Seed 1,Seed 2,Team 1,Team 2,TO 1,TO 2,GP 1,GP 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
117,2022,R2,11,3,Iowa State,Wisconsin,13.8,8.5,33,32,2186,2259,2070,2123,66.2,70.6,62.7,66.3,62.5,77.4,32.1,31.2,54,49,Iowa State
118,2022,R2,10,2,Miami (FL),Auburn,9.6,12.1,34,33,2537,2599,2410,2206,74.6,78.8,70.9,66.8,69.7,84.4,35.3,32,79,61,Miami (FL)
119,2022,Sweet 16,1,4,Gonzaga,Arkansas,11.8,12.6,31,35,2722,2667,2045,2381,87.8,76.2,66,68,89.7,75.8,37.9,30.7,68,74,Arkansas
120,2022,Sweet 16,3,2,Texas Tech,Duke,13.9,10.2,36,36,2594,2889,2166,2420,72.1,80.3,60.2,67.2,73.5,82.4,31.4,36.8,73,78,Duke
121,2022,Sweet 16,8,4,North Carolina,UCLA,11.7,9.2,35,34,2746,2573,2523,2183,78.5,75.7,72.1,64.2,72.7,78.1,36.2,35.1,73,66,North Carolina
122,2022,Sweet 16,3,15,Purdue,Saint Peter's,11.7,13.9,36,32,2872,2161,2465,1992,79.8,67.5,68.5,62.3,79.4,63.3,39.1,35.3,64,67,Saint Peter’s 
123,2022,Sweet 16,1,5,Arizona,Houston,13.2,11.3,36,36,3047,2728,2446,2123,84.6,75.8,67.9,59,91.2,85.3,35.4,34.1,60,72,Houston
124,2022,Sweet 16,11,2,Michigan,Villanova,11.5,10,33,35,2415,2548,2297,2203,73.2,72.8,69.6,62.9,54.8,78.8,34,35.9,55,63,Villanova
125,2022,Sweet 16,1,4,Kansas,Providence,12.5,11.7,36,32,2834,2299,2445,2118,78.7,71.8,67.9,66.2,82.4,83.3,35.5,34.3,66,61,Kansas
126,2022,Sweet 16,11,10,Iowa State,Miami (FL),13.8,9.6,34,35,2240,2616,2119,2471,65.9,74.7,62.3,70.6,62.5,69.7,32.1,35.3,56,70,Miami (FL)
127,2022,Elite 8,4,2,Arkansas,Duke,12.6,10.2,36,37,2741,2967,2449,2493,76.1,80.2,68,67.4,75.8,82.4,30.7,36.8,69,78,Duke
128,2022,Elite 8,8,15,North Carolina,Saint Peter’s,11.7,13.9,36,33,2819,2228,2589,2056,78.3,67.5,71.9,62.3,72.7,63.3,36.2,35.3,69,49,North Carolina
129,2022,Elite 8,5,2,Houston,Villanova,11.3,10,37,36,2800,2611,2183,2258,75.7,72.5,59,62.7,85.3,78.8,34.1,35.9,44,50,Villanova
130,2022,Elite 8,1,10,Kansas,Miami (FL),12.5,9.6,37,36,2900,2686,2506,2527,78.4,74.6,67.7,70.2,82.4,69.7,35.5,35.3,76,50,Kansas
131,2022,Final 4,2,8,Duke,North Carolina,10.2,11.7,38,37,3045,2888,2562,2638,80.1,78.1,67.4,71.3,82.4,72.7,36.8,36.2,77,81,North Carolina
132,2022,Final 4,2,1,Villanova,Kansas,10,12.5,37,38,2661,2976,2302,2556,71.9,78.3,62.2,67.3,78.8,82.4,35.9,35.5,65,81,Kansas
133,2022,Championship,8,1,North Carolina,Kansas,11.7,12.5,38,38,2969,3057,2715,2621,78.1,80.4,71.4,69,72.7,82.4,36.2,35.5,69,72,Kansas
134,2024,First Four,16,16,Howard,Wagner,15.7,10,34,31,2555,1970,2529,1925,75.1,63.5,74.4,62.1,52.9,51.6,37.4,32.2,68,71,Wagner
135,2024,First Four,10,10,Virginia,Colorado State,8.2,10.1,33,34,2098,2596,1964,2324,63.6,76.4,59.5,68.4,69.7,70.6,36.3,39.4,42,67,Colorado State
136,2024,First Four,16,16,Montana State,Grambling,11.6,13.4,34,34,2554,2298,2518,2347,75.1,67.6,74.1,69,50,58.8,36.7,33.9,81,88,Grambling
137,2024,First Four,10,10,Boise State,Colorado,11.2,12.7,32,34,2426,2696,2161,2420,75.8,79.3,67.5,71.2,68.8,70.6,34.5,39.4,53,60,Colorado
138,2024,R1,1,16,UConn,Stetson,9.9,10.4,34,34,2770,2635,2190,2475,81.5,77.5,64.4,72.8,91.2,64.7,36.7,37,91,52,UConn
139,2024,R1,8,9,Florida Atlantic,Northwestern,11.1,8.8,33,32,2724,2358,2418,2208,82.5,73.7,73.3,69,75.8,65.6,35.6,39.4,65,77,Northwestern
140,2024,R1,5,12,San Diego State,UAB,11.1,11.5,34,34,2536,2646,2263,2558,74.6,77.8,66.6,75.2,70.6,67.6,31.3,32.6,69,65,San Diego State
141,2024,R1,4,13,Auburn,Yale,10.6,9.5,34,31,2833,2330,2313,2065,83.3,75.2,68,66.6,79.4,71,35.2,34.7,76,78,Yale
142,2024,R1,6,11,BYU,Duquesne,10.7,11.8,33,35,2701,2477,2307,2311,81.8,70.8,69.9,66,69.7,68.6,34.8,34,67,71,Duquesne
143,2024,R1,3,14,Illinois,Morehead State,10.8,12,34,34,2870,2566,2165,2135,84.4,75.5,63.7,62.8,76.5,76.5,35,36.1,85,69,Illinois
144,2024,R1,7,10,Washington State,Drake,10.8,9.7,33,34,2452,2736,2207,2397,74.3,80.5,66.9,70.5,72.7,82.3,34,36.7,66,61,Washington State
145,2024,R1,2,15,Iowa State,South Dakota State,10.7,11.2,34,34,2569,2610,2084,2408,75.6,76.8,61.3,70.8,79.4,64.7,34.9,36.3,82,65,Iowa State
146,2024,R1,1,16,North Carolina,Wagner,10.3,10,34,32,2770,2041,2388,1993,81.5,63.8,70.2,62.3,79.4,51.6,35.4,32.2,90,62,North Carolina
